Date,Open,High,Low,Close,Adj Close,Volume,Volumej
17/05/2013,47,52.07,44,50.75,50.75,8408700,840.87
20/05/2013,51.400002,59.599998,50.700001,53.450001,53.450001,2711400,271.14
21/05/2013,55.110001,59,52.5,53.25,53.25,727200,72.72
22/05/2013,55.110001,55.119999,47.450001,50.259998,50.259998,634900,63.49
23/05/2013,48.450001,54.5,48.450001,52.919998,52.919998,679300,67.93
24/05/2013,53.099998,53.48,52.060001,52.490002,52.490002,173800,17.38
28/05/2013,53.450001,53.91,50,50.669998,50.669998,351600,35.16
29/05/2013,50.650002,50.650002,49.09,50.299999,50.299999,269400,26.94
30/05/2013,50.57,51.5,50,51.110001,51.110001,143800,14.38
31/05/2013,50.740002,51.990002,50.419998,51.099998,51.099998,180500,18.05
3/06/2013,51.490002,51.490002,50.009998,50.34,50.34,110400,11.04
4/06/2013,50.740002,50.740002,48.310001,48.529999,48.529999,255100,25.51
5/06/2013,48.5,49.98,48.27,49.610001,49.610001,212000,21.2
6/06/2013,49.869999,53.490002,49.380001,53.02,53.02,367500,36.75
7/06/2013,53,56.540001,52.189999,56.209999,56.209999,464100,46.41
10/06/2013,56.68,58.200001,55.779999,58.110001,58.110001,375200,37.52
11/06/2013,56.970001,57.240002,52.099998,53.049999,53.049999,348800,34.88
12/06/2013,54.549999,56.139999,53.900002,55.810001,55.810001,328000,32.8
13/06/2013,56.240002,58.59,54.349998,56.970001,56.970001,384000,38.4
14/06/2013,57.360001,57.75,55,55.470001,55.470001,348200,34.82
17/06/2013,55.75,56.700001,54.310001,54.880001,54.880001,169000,16.9
18/06/2013,54.810001,54.959999,52.59,54.41,54.41,283500,28.35
19/06/2013,54,54.880001,52.75,53.91,53.91,173700,17.37
20/06/2013,54.27,55.970001,53.049999,55.400002,55.400002,203200,20.32
21/06/2013,55.380001,57.209999,54.84,55.27,55.27,247600,24.76
24/06/2013,55.41,55.740002,52.599998,54.93,54.93,190900,19.09
25/06/2013,55.299999,55.299999,53.209999,54.419998,54.419998,104600,10.46
26/06/2013,54.77,57.98,53.759998,56.68,56.68,225500,22.55
27/06/2013,56.73,59.880001,55.360001,56.41,56.41,249900,24.99
28/06/2013,56,56.540001,54.560001,55.419998,55.419998,486700,48.67
1/07/2013,57.360001,59,55.75,58.799999,58.799999,129100,12.91
2/07/2013,58.889999,59.830002,57.09,58.25,58.25,95600,9.56
3/07/2013,58.59,61.450001,57.860001,60.099998,60.099998,132000,13.2
5/07/2013,61.310001,62.970001,60.75,62.860001,62.860001,265200,26.52
8/07/2013,63,63,60.5,60.990002,60.990002,107700,10.77
9/07/2013,60.73,61.639999,57,57.139999,57.139999,345500,34.55
10/07/2013,57.25,58.52,56.509998,56.599998,56.599998,179500,17.95
11/07/2013,57,57.650002,55.34,55.759998,55.759998,202300,20.23
12/07/2013,55.75,56,53.470001,53.5,53.5,284300,28.43
15/07/2013,53.869999,54.82,53.200001,53.82,53.82,239000,23.9
16/07/2013,54.07,56.799999,53.880001,55.18,55.18,176300,17.63
17/07/2013,55.150002,56.869999,55.119999,56.669998,56.669998,151900,15.19
18/07/2013,57,57.25,55.049999,55.220001,55.220001,80700,8.07
19/07/2013,55.68,55.68,53.77,53.810001,53.810001,115200,11.52
22/07/2013,54.110001,54.310001,52.610001,53.009998,53.009998,153200,15.32
23/07/2013,53.5,53.84,51.990002,52.07,52.07,122100,12.21
24/07/2013,52.389999,53.77,52.360001,53.59,53.59,204100,20.41
25/07/2013,54.48,55.419998,53.709999,54.5,54.5,174000,17.4
26/07/2013,54.93,54.93,53.419998,53.75,53.75,43000,4.3
29/07/2013,54.25,54.25,53.400002,53.48,53.48,10000,1
30/07/2013,53.560001,54.240002,53.5,53.810001,53.810001,116300,11.63
31/07/2013,54,55.75,54,55.400002,55.400002,211100,21.11
1/08/2013,56.66,57.93,55.939999,57.619999,57.619999,168100,16.81
2/08/2013,57.919998,59.970001,57.09,59.849998,59.849998,178000,17.8
5/08/2013,59.849998,60.459999,58.189999,60.119999,60.119999,119800,11.98
6/08/2013,60.290001,61.650002,59.18,59.540001,59.540001,122500,12.25
7/08/2013,59.560001,60.700001,58.450001,59.599998,59.599998,108800,10.88
8/08/2013,60.880001,61.650002,59.5,60.939999,60.939999,339300,33.93
9/08/2013,72.260002,74.25,66.629997,67.82,67.82,1193100,119.31
12/08/2013,68.230003,73.650002,67.860001,72.699997,72.699997,505500,50.55
13/08/2013,73.260002,74.970001,68.57,71.099998,71.099998,450600,45.06
14/08/2013,70.879997,71.889999,65.910004,66.989998,66.989998,381400,38.14
15/08/2013,65.769997,66.779999,64.279999,65.169998,65.169998,273100,27.31
16/08/2013,65.589996,68.589996,65.010002,66.57,66.57,330200,33.02
19/08/2013,66.730003,67.68,64.519997,64.980003,64.980003,154300,15.43
20/08/2013,65,65.75,63.27,63.830002,63.830002,213100,21.31
21/08/2013,64,64.739998,63,63.349998,63.349998,99900,9.99
22/08/2013,63.75,64.32,63.610001,64,64,123200,12.32
23/08/2013,64.199997,68.5,63.139999,67.669998,67.669998,305400,30.54
26/08/2013,67.879997,69.889999,66.449997,68.370003,68.370003,297400,29.74
27/08/2013,67.410004,67.5,65.800003,66.279999,66.279999,219000,21.9
28/08/2013,66.150002,68.489998,66.040001,68.07,68.07,242000,24.2
29/08/2013,68.25,70.779999,67.690002,70.040001,70.040001,246400,24.64
30/08/2013,70,74.330002,69.25,72.309998,72.309998,623200,62.32
3/09/2013,72.989998,73.870003,70.529999,71.419998,71.419998,214000,21.4
4/09/2013,71.849998,75.220001,71.019997,74.199997,74.199997,292900,29.29
5/09/2013,74.599998,77.739998,72.669998,72.970001,72.970001,517100,51.71
6/09/2013,73.839996,73.93,70.529999,70.690002,70.690002,397300,39.73
9/09/2013,71.379997,73.68,70.910004,72.470001,72.470001,196800,19.68
10/09/2013,73.260002,75.059998,71.75,74.75,74.75,353500,35.35
11/09/2013,74.779999,75.330002,71.910004,71.989998,71.989998,287600,28.76
12/09/2013,72.589996,73.550003,70.5,73.110001,73.110001,259100,25.91
13/09/2013,73.669998,75,72.43,72.699997,72.699997,324800,32.48
16/09/2013,73.669998,74.699997,71.699997,71.959999,71.959999,223900,22.39
17/09/2013,72.239998,72.519997,70.650002,72.099998,72.099998,202800,20.28
18/09/2013,73,73.290001,71.440002,72.82,72.82,164600,16.46
19/09/2013,73.279999,74.5,73.230003,74.059998,74.059998,234400,23.44
20/09/2013,74.5,75.900002,73.040001,73.040001,73.040001,587500,58.75
23/09/2013,73.040001,73.040001,68.300003,72.809998,72.809998,549600,54.96
24/09/2013,72.360001,73.629997,70.709999,71.889999,71.889999,117200,11.72
25/09/2013,71.800003,72.68,70.639999,71.860001,71.860001,101600,10.16
26/09/2013,72.419998,72.919998,71.150002,72.519997,72.519997,107000,10.7
27/09/2013,72.379997,72.379997,68.75,69.230003,69.230003,297500,29.75
30/09/2013,67.589996,71.900002,67.089996,71.239998,71.239998,246800,24.68
1/10/2013,71,72.5,70.199997,71.440002,71.440002,116700,11.67
2/10/2013,71,73.300003,70.559998,73.080002,73.080002,150700,15.07
3/10/2013,73,73.449997,70.889999,71.099998,71.099998,146200,14.62
4/10/2013,71.349998,71.349998,70,70.410004,70.410004,153900,15.39
7/10/2013,69.699997,72,69.18,70.279999,70.279999,145000,14.5
8/10/2013,70.43,71.269997,67.059998,67.559998,67.559998,356800,35.68
9/10/2013,67.910004,68.160004,66,66.339996,66.339996,217000,21.7
10/10/2013,67.529999,69,66.150002,66.32,66.32,339300,33.93
11/10/2013,66.730003,67.669998,64.760002,66.5,66.5,289000,28.9
14/10/2013,66,66.860001,64.739998,66.690002,66.690002,215100,21.51
15/10/2013,66.860001,66.860001,64.110001,64.739998,64.739998,273200,27.32
16/10/2013,64.870003,68,64.290001,67.830002,67.830002,336300,33.63
17/10/2013,67.449997,68.510002,65.5,68.419998,68.419998,209000,20.9
18/10/2013,69.040001,69.169998,67.650002,67.809998,67.809998,158600,15.86
21/10/2013,68.220001,68.220001,65.510002,65.980003,65.980003,162600,16.26
22/10/2013,66.139999,66.300003,62.630001,63.41,63.41,433200,43.32
23/10/2013,62.950001,62.950001,59.5,60.93,60.93,570900,57.09
24/10/2013,61,65.370003,60.75,64.209999,64.209999,397300,39.73
25/10/2013,63.990002,63.990002,62.400002,63.66,63.66,337600,33.76
28/10/2013,64,64,60.509998,63.209999,63.209999,663800,66.38
29/10/2013,69.449997,70,63.099998,65.449997,65.449997,1155400,115.54
30/10/2013,65.309998,66.589996,63.25,64.160004,64.160004,468000,46.8
31/10/2013,62.450001,64,60.950001,61.459999,61.459999,2709400,270.94
1/11/2013,61.25,61.75,59.02,59.52,59.52,1295000,129.5
4/11/2013,59.25,60.419998,58.959999,60,60,1128400,112.84
5/11/2013,61,64.440002,60.849998,64,64,2189300,218.93
6/11/2013,63.919998,65.489998,63.5,65.129997,65.129997,1953200,195.32
7/11/2013,65.730003,66.389999,63.189999,64,64,5220900,522.09
8/11/2013,64.699997,65.099998,63.52,64.449997,64.449997,1336800,133.68
11/11/2013,64.279999,64.699997,63.299999,64.199997,64.199997,793300,79.33
12/11/2013,64.209999,64.300003,62.77,63.799999,63.799999,697700,69.77
13/11/2013,64.059998,65.940002,63.650002,65.230003,65.230003,1161500,116.15
14/11/2013,65.150002,65.989998,63.59,65.57,65.57,1519600,151.96
15/11/2013,65.389999,66.5,65.209999,65.290001,65.290001,1144400,114.44
18/11/2013,65.110001,65.68,61.400002,61.73,61.73,1392900,139.29
19/11/2013,61.990002,62.360001,60.049999,60.709999,60.709999,989500,98.95
20/11/2013,60.880001,61.900002,60.52,60.779999,60.779999,349400,34.94
21/11/2013,61.240002,62.139999,61.009998,62.02,62.02,362900,36.29
22/11/2013,62.59,63.810001,62,63.630001,63.630001,619800,61.98
25/11/2013,63.5,64.209999,61.93,62.52,62.52,363100,36.31
26/11/2013,62.18,64.519997,61.700001,64.480003,64.480003,866800,86.68
27/11/2013,62.91,66.5,62.91,65.889999,65.889999,735900,73.59
29/11/2013,65.800003,66.489998,65,65.540001,65.540001,333100,33.31
2/12/2013,64.629997,65.870003,63.619999,64.239998,64.239998,528500,52.85
3/12/2013,63.91,66.169998,63.669998,65.610001,65.610001,451800,45.18
4/12/2013,65.150002,67.349998,64.739998,66.519997,66.519997,691200,69.12
5/12/2013,66.07,66.900002,66.029999,66.639999,66.639999,292300,29.23
6/12/2013,66.779999,66.900002,65.459999,66.290001,66.290001,663200,66.32
9/12/2013,66.239998,66.900002,65.199997,65.709999,65.709999,518500,51.85
10/12/2013,65.690002,66.82,65.690002,66.25,66.25,206100,20.61
11/12/2013,66.269997,66.269997,64.459999,65.440002,65.440002,269700,26.97
12/12/2013,65.32,65.720001,64.650002,65.580002,65.580002,269600,26.96
13/12/2013,65.529999,66.300003,64.599998,65.290001,65.290001,307800,30.78
16/12/2013,64.660004,65.699997,64.410004,64.709999,64.709999,326400,32.64
17/12/2013,64.809998,66.639999,64.470001,65.519997,65.519997,453000,45.3
18/12/2013,65.209999,65.949997,62.849998,65.300003,65.300003,495700,49.57
19/12/2013,66,66,65.010002,65.139999,65.139999,432700,43.27
20/12/2013,65.730003,67,64.419998,66.099998,66.099998,867500,86.75
23/12/2013,66.099998,68.220001,65.800003,67.93,67.93,474200,47.42
24/12/2013,67.849998,68.720001,67.260002,68.610001,68.610001,80800,8.08
26/12/2013,68.660004,68.93,67.150002,67.699997,67.699997,191600,19.16
27/12/2013,67.910004,68.099998,66.629997,67.599998,67.599998,209300,20.93
30/12/2013,67.720001,68.18,67.010002,67.650002,67.650002,254100,25.41
31/12/2013,67.220001,68.959999,66.879997,68.93,68.93,318100,31.81
2/01/2014,68.669998,69.800003,67.610001,68.440002,68.440002,502900,50.29
3/01/2014,68.860001,69.150002,66.190002,68.610001,68.610001,315600,31.56
6/01/2014,68.959999,69.589996,68.260002,68.540001,68.540001,319400,31.94
7/01/2014,68.650002,71.779999,68.650002,71.150002,71.150002,695900,69.59
8/01/2014,70.669998,71.400002,69.040001,70.760002,70.760002,389100,38.91
9/01/2014,71.279999,71.470001,68.18,68.599998,68.599998,286800,28.68
10/01/2014,69.120003,71.150002,68.160004,70.720001,70.720001,328000,32.8
13/01/2014,70.870003,70.870003,68.040001,68.379997,68.379997,299500,29.95
14/01/2014,68.940002,70.25,68.129997,69.32,69.32,211800,21.18
15/01/2014,69.75,71.419998,69.660004,71.18,71.18,440600,44.06
16/01/2014,71.150002,74.449997,71.120003,73.57,73.57,768000,76.8
17/01/2014,73.529999,73.839996,72.050003,72.57,72.57,368000,36.8
21/01/2014,73.93,75.690002,71.910004,75.339996,75.339996,811900,81.19
22/01/2014,75.589996,78.339996,75.290001,77.580002,77.580002,687100,68.71
23/01/2014,78,79.889999,76.269997,78.529999,78.529999,780000,78
24/01/2014,77.839996,78.75,74.099998,74.93,74.93,721600,72.16
27/01/2014,75.010002,75.440002,72.400002,73.5,73.5,474600,47.46
28/01/2014,74,76.75,73.519997,75.599998,75.599998,556500,55.65
29/01/2014,77,77.980003,74.339996,75.269997,75.269997,634000,63.4
30/01/2014,76.57,80.129997,75.849998,79.82,79.82,685500,68.55
31/01/2014,78.559998,82.330002,77.849998,80.82,80.82,722300,72.23
3/02/2014,80.970001,81.970001,76.290001,78.949997,78.949997,955100,95.51
4/02/2014,79.25,80.400002,76.290001,79.43,79.43,1800000,180
